epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,305.152,1.00771,3.84931,1.42565,0.43529,0.30179,0.26301,0.20204,0.86472,3.27339,1.28312,0.000128049,0.000128049,0.000128049
2,434.955,1.00972,2.6924,1.4222,0.4458,0.35058,0.35869,0.2649,0.93165,3.45515,1.33018,0.000231001,0.000231001,0.000231001
3,610.262,0.98516,2.20175,1.38154,0.39961,0.36498,0.37119,0.28387,0.88914,3.33653,1.28757,0.000308542,0.000308542,0.000308542
4,735.678,0.94275,1.89697,1.34676,0.41256,0.38354,0.3659,0.28321,0.91152,3.63299,1.2917,0.000270655,0.000270655,0.000270655
5,855.063,0.89386,1.61019,1.29727,0.45928,0.39386,0.42096,0.32773,0.83743,3.51826,1.24311,0.00023254,0.00023254,0.00023254
6,974.041,0.83726,1.40596,1.25347,0.46522,0.39089,0.42686,0.32976,0.88068,3.71642,1.26159,0.000194425,0.000194425,0.000194425
7,1101.26,0.80445,1.2593,1.22199,0.45746,0.4615,0.46886,0.37022,0.8335,3.43148,1.2208,0.00015631,0.00015631,0.00015631
8,1227.71,0.76624,1.10876,1.18656,0.4626,0.45274,0.47695,0.37991,0.80056,3.41244,1.20068,0.000118195,0.000118195,0.000118195
9,1359.04,0.73155,1.00957,1.15564,0.45755,0.49435,0.49513,0.40014,0.77459,3.33323,1.18083,8.008e-05,8.008e-05,8.008e-05
10,1683.4,0.69851,0.92439,1.13712,0.48058,0.44109,0.47292,0.38041,0.77274,3.37301,1.18479,4.1965e-05,4.1965e-05,4.1965e-05
